date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:33:08	36146/36146	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229028671ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.eot	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.eot	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:10	19124/19124	---M--	200	added ('OK')	font/x-woff2	etag:%2255fdbc1ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.woff2	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.woff2	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:14	24192/24192	---M--	200	added ('OK')	font/x-woff	etag:%22b938b81ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.woff	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.woff	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:20	35932/35932	---M--	200	added ('OK')	application/octet-stream	etag:%22f4949e1ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.ttf	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.ttf	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:24	186851/186851	---M--	200	added ('OK')	image/jpeg	etag:%22ad8e221cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/slider-1.jpg	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/slider-1.jpg	(from http://www.vnkarazinkharkivnationaluniversity.com/)
23:33:26	92633/92633	---M--	200	added ('OK')	image/svg+xml	etag:%222813921ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.svg	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/tt0663m.svg	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:27	25848/25848	---M--	200	added ('OK')	font/x-woff2	etag:%22c5431a1ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/droidserif-regular-webfont.woff2	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/droidserif-regular-webfont.woff2	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:29	32372/32372	---M--	200	added ('OK')	font/x-woff	etag:%22dd1c131ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/droidserif-regular-webfont.woff	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/droidserif-regular-webfont.woff	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:35	68442/68442	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e4df361ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.eot	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.eot	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:38	44356/44356	---M--	200	added ('OK')	font/x-woff2	etag:%22c5536b1ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.woff2	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.woff2	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:41	68442/68442	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e4df361ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.eot?	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semiboldd41d.eot	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:46	73132/73132	---M--	200	added ('OK')	font/x-woff	etag:%229f55d1ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.woff	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.woff	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:33:59	114742/114742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229d9d11ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/opensans-regular_0.eot	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/opensans-regular_0.eot	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
